Province/Municipality/Regions,ISO,Three Economic Regions,General Classification,Focus Regions,Eight Economic Regions,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sichuan,CN-SC,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,1048,1128.6,1329.1,1403.2,1614,1966.5,2139,2160.4,2384.9,2854.6,3142.6,3257.4,3524.7,3661,3900.6,4262.5,4427.4,4807.5,5556.9,5661.9
Guizhou,CN-GZ,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,280.8,290.9,335.1,362.5,367.2,430.6,522.6,531.2,602.8,699.6,862.7,999.3,1281.5,1642,1861.8,2032.3,2156,2280.6,2539.9,2730.9
Yunnan,CN-YN,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,463.4,494.6,607.8,646.3,704.5,849.6,1001.9,1049.7,1090.3,1396.6,1640.4,1878.5,2007.4,2079.3,2225.5,2338.4,2498.7,3037.7,3611.8,3870.2
Tibet,CN-XZ,Western Regions,Xinan,,Northwest Zone,38.7,39.6,42.1,44.9,47.6,52.3,57.6,60.5,64.8,69.8,75.3,81.2,88.1,93.6,110.5,118.2,128.3,138.2,150.3,164.1
Shaanxi,CN-SN,Western Regions,Xibei,,Middle Reaches of the Yellow River,282.2,302.7,356.7,418.6,466.2,560.7,717.5,751.6,946.7,1187.4,1314.8,1463.5,1566.9,1599.7,1696.1,1741.1,1830.2,1991.1,2267.7,2409.4
Gansu,CN-GS,Western Regions,Xibei,,Northwest Zone,215.5,238,283.3,304.3,329.8,365.9,391.2,418.4,472.6,525.6,590.9,658.1,695.8,733.4,800.8,859.8,926.1,1059.3,1188.1,1364.7
Qinghai,CN-QH,Western Regions,Xibei,,Northwest Zone,45.3,46,58.1,62.8,65.8,81.6,103.6,105.3,132.6,152.6,174.2,204.7,215.9,208.9,221.2,238.4,268.1,301.9,338,352.7
Ningxia Hui,CN-NX,Western Regions,Xibei,,Northwest Zone,53,55.6,65.3,69.8,76.8,92.9,112.9,120.4,151.4,175,189,210.7,216.9,236.8,241,250.6,279.4,280,338.1,364.5
Xinjiang Uyghur,CN-XJ,Western Regions,Xibei,,Northwest Zone,290.4,393.1,439.2,485.6,502.5,593.3,646.9,704.9,1000.3,1047.2,1204.1,1326.6,1406.7,1409.7,1473.2,1551.8,1692.1,1781.8,1981.3,2356.1
,CN-TW,,,,,459.6650737,448.493519,479.6257052,505.8542663,488.802391,447.4375985,449.5657795,447.5962783,485.5160717,544.3150678,527.5507797,547.5779478,615.5749677,591.374274,675.2501736,730.3129399,685.9079321,710.5763246,734.6655665,747.0431973
,CN-HK,,,,,,10.03628745,10.22498955,10.03367956,9.71985648,9.8957628,8.254034,9.6053961,8.25792372,7.83636112,9.06084154,9.70960725,11.88555544,13.2155021,16.24655734,15.057196,14.8796495,18.14461187,23.5584616,
注：1.本表按当年价格计算。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　4.2019年为最终核实数。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。,,,,,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,
