Province/Municipality/Regions,ISO,Three Economic Regions,General Classification,Focus Regions,Eight Economic Regions,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chongqing,CN-CQ,Western Regions,Xinan,,Southeast Zone,981.3,1164.1,1392.6,1559.2,1873.4,2237.3,2651.8,3016.8,3624.1,4571.3,5308.1,5988.6,6774.6,7208,7765.4,8455,8842.2,9392,9969.6,11184.9
Sichuan,CN-SC,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,1733.4,2020.5,2439.7,2961.2,3658.1,4607.7,5766.5,6653.2,8283.2,10014.4,11231.1,12418.9,13082.7,13192.5,13450.1,14569.2,16056.9,17187.9,17505.6,19901.4
Guizhou,CN-GZ,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,482,570.7,667,797.9,953,1187.2,1437.7,1574.9,1820.7,2258.9,2716.8,3171,3582.4,4026.7,4468.7,4970.9,5506.2,5971.5,6263,6984.7
Yunnan,CN-YN,Western Regions,Xinan,The Pan-Pearl River Delta Region（PPRD）,Southeast Zone,942.1,1059.8,1267.8,1387.3,1674.2,2057.4,2476.1,2605.4,3267.7,3811.4,4458.4,5000.5,5376.5,5491.7,5747.4,6317.8,7267.5,8060.4,8387.5,9589.4
Tibet,CN-XZ,Western Regions,Xinan,,Northwest Zone,32.7,47.5,51.3,60.5,76.1,95.2,110.8,130.1,155,195.6,226.1,270.8,310.3,341.8,390.4,469.6,582.7,635.6,714.9,757.3
Shaanxi,CN-SN,Western Regions,Xibei,,Middle Reaches of the Yellow River,1007.6,1221.2,1506.1,1807.8,2271,2865.9,3666.1,4017.5,5071.5,6484.3,7612.3,8418,9045,8664.6,8906.5,10114.1,11215.3,11779.5,11222,13802.5
Gansu,CN-GS,Western Regions,Xibei,,Northwest Zone,501.7,572.2,680.3,772.2,972.5,1254.1,1429.9,1473.2,1910.4,2288.6,2493.3,2674,2823.3,2505.4,2483.5,2515.8,2761.6,2862.4,2824.8,3466.6
Qinghai,CN-QH,Western Regions,Xibei,,Northwest Zone,113,132.2,154.4,190.3,228.1,275.3,350.3,365.7,444.2,553.1,620.2,681,714.8,761.1,867.7,975.7,1093.7,1153.9,1143.2,1332.6
Ningxia Hui,CN-NX,Western Regions,Xibei,,Northwest Zone,153.1,191.8,232.6,259.8,321.9,422,558.1,593,733.4,919.8,992.5,1059.5,1113.7,1116.8,1179.7,1406,1488.1,1587.1,1629.3,2021.6
Xinjiang Uyghur,CN-XJ,Western Regions,Xibei,,Northwest Zone,589.2,700.3,887.1,1127.1,1409.8,1588.5,1991.8,1846,2479.8,3093.4,3325.9,3479.9,3829.3,3446.1,3446.1,4096.2,4657.2,4784.4,4786.7,5967.4
,CN-TW,,,,,7796.915763,8343.249474,9310.298093,9777.574556,9809.421996,9917.734684,8818.138914,8197.730066,10052.17067,10227.90276,10133.48739,10660.12194,11820.63493,12224.34965,13344.33203,14768.67172,14702.19849,14971.08055,17143.12905,18956.32705
,CN-HK,,,,,,197.1562381,212.9177064,225.8945371,220.3411065,206.1312582,180.4819402,165.8675463,178.7165999,178.7001285,174.7220446,171.4184953,177.0692112,182.4115204,206.0712346,228.4165179,226.8764636,252.2709783,275.4283303,
注：1.本表按当年价格计算。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　4.2019年为最终核实数。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。,,,,,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,
